name,number,width,role
r0,0,16,general
r1,1,16,general
r2,2,16,general
r3,3,16,general
r4,4,16,general
r5,5,16,general
r6,6,16,general
r7,7,16,general
r8,8,16,general
r9,9,16,general
r10,10,16,general
r11,11,16,general
r12,12,16,general
r13,13,16,general
r14,14,16,general
r15,15,16,general
r16,16,16,general
r17,17,16,general
r18,18,16,general
r19,19,16,general
r20,20,16,general
r21,21,16,general
r22,22,16,general
r23,23,16,general
r24,24,16,general
r25,25,16,general
r26,26,16,general
r27,27,16,general
r28,28,16,general
r29,29,16,general
r30,30,16,general
r31,31,16,general
r32,32,16,general
r33,33,16,general
r34,34,16,general
r35,35,16,general
r36,36,16,general
r37,37,16,general
r38,38,16,general
r39,39,16,general
r40,40,16,general
r41,41,16,general
r42,42,16,general
r43,43,16,general
r44,44,16,general
r45,45,16,general
r46,46,16,general
r47,47,16,general
r48,48,16,general
r49,49,16,general
r50,50,16,general
r51,51,16,general
r52,52,16,general
r53,53,16,general
r54,54,16,general
r55,55,16,general
r56,56,16,general
r57,57,16,general
r58,58,16,general
r59,59,16,scratch/far-address pointer (sap) in Base-16T ABI
r60,60,16,scratch transfer data (sdata) in Base-16T ABI
r61,61,16,general
r62,62,16,general
r63,63,16,general
